;2010;2011;2012;2013;2014;2015;
Current Gross Secondary Income in Euro;sndjob10;sndjob11;sndjob12;sndjob13;sndjob14;sndjob15;
Employment Status;emplst10;emplst11;emplst12;emplst13;emplst14;emplst15;
Labor Force Status;lfs10;lfs11;lfs12;lfs13;lfs14;lfs15;
Last Reached Isei Value(International Socio-Economic Index);isei88_10;isei88_11;isei88_12;isei88_13;isei88_14;isei88_15;
Required Training for Job;ausb10;ausb11;ausb12;ausb13;ausb14;ausb15;
Actual Work Time Per Week;batatzeit;bbtatzeit;bctatzeit;bdtatzeit;betatzeit;bftatzeit;
Agreed Upon Work Time Per Week;bavebzeit;bbvebzeit;bcvebzeit;bdvebzeit;bevebzeit;bfvebzeit;
Overtime Per Week;bauebstd;bbuebstd;bcuebstd;bduebstd;beuebstd;bfuebstd;
Size of the company;betr10;betr11;betr12;betr13;betr14;betr15;
Working Experience Full-Time Employment;expft10;expft11;expft12;expft13;expft14;expft15;
Unemployment Experience;expue10;expue11;expue12;expue13;expue14;expue15;
Amount of Education Or Training in Years;babilzeit;bbbilzeit;bcbilzeit;bdbilzeit;bebilzeit;bfbilzeit;
School-Leaving Degree;bapsbil;bbpsbil;bcpsbil;bdpsbil;bepsbil;bfpsbil;
Vocational Degree Received;bapbbil01;bbpbbil01;bcpbbil01;bdpbbil01;bepbbil01;bfpbbil01;
College Degree;bapbbil02;bbpbbil02;bcpbbil02;bdpbbil02;bepbbil02;bfpbbil02;
No Vocational Degree;bapbbil03;bbpbbil03;bcpbbil03;bdpbbil03;bepbbil03;bfpbbil03;
School-Leaving Degree East Germany;bapsbilo;bbpsbilo;bcpsbilo;bdpsbilo;bepsbilo;bfpsbilo;
Vocational Degree Received East Germany;bapbbilo;bbpbbilo;bcpbbilo;bdpbbilo;bepbbilo;bfpbbilo;
School-Leaving Degree Outside Germany;bapsbila;bbpsbila;bcpsbila;bdpsbila;bepsbila;bfpsbila;
Vocational Degree Outside Germany;bapbbila;bbpbbila;bcpbbila;bdpbbila;bepbbila;bfpbbila;
Own Earnings;baj04;bbj04;bcj04;bdj04;bej04;bfj04;
Full-Time, Part-Time, Trainee;baj05;bbj05;bcj05;bdj05;bej05;bfj05;
Have Already Worked Before;baj06;bbj06;bcj06;bdj06;bej06;bfj06;
Age At First Job;baj07;bbj07;bcj07;bdj07;bej07;bfj07;
Reason For Working;baj08;bbj08;bcj08;bdj08;bej08;bfj08;
Employed Full-Time in Prev. Yr;bap1a01;bbp1a01;bcp1a01;bdp1a01;bep1a01;bfp1a01;
Employed Full-Time No. Month Prev. Yr;bap1a02;bbp1a02;bcp1a02;bdp1a02;bep1a02;bfp1a02;
Employed Part-Time in Prev. Yr;bap1b01;bbp1b01;bcp1b01;bdp1b01;bep1b01;bfp1b01;
Employed Part-Time No. Months Prev. Yr;bap1b02;bbp1b02;bcp1b02;bdp1b02;bep1b02;bfp1b02;
Officially Unemployed Prev Yr;bap1d01;bbp1d01;bcp1d01;bdp1d01;bep1d01;bfp1d01;
Officially Unemployed Prev Yr No. Month;bap1d02;bbp1d02;bcp1d02;bdp1d02;bep1d02;bfp1d02;
Maternity Benefit in Prev. Yr;bap1f01;bbp1f01;bcp1f01;bdp1f01;bep1f01;bfp1f01;
Maternity Benefit No. Months Prev. Yr;bap1f02;bbp1f02;bcp1f02;bdp1f02;bep1f02;bfp1f02;
In School, College in Prev. Yr;bap1g01;bbp1g01;bcp1g01;bdp1g01;bep1g01;bfp1g01;
In School, College No. Month Prev. Yr;bap1g02;bbp1g02;bcp1g02;bdp1g02;bep1g02;bfp1g02;
On-the-Job Training,Retraining Prev. Yr;bap1m01;bbp1m01;bcp1m01;bdp1m01;bep1m01;bfp1m01;
On-the-Job Training,Retraining No. Month Prev. Yr;bap1m02;bbp1m02;bcp1m02;bdp1m02;bep1m02;bfp1m02;
Mini-Job (up too 400€) Prev. Yr;bap1n01;bbp1n01;bcp1n01;bdp1n01;bep1n01;bfp1n01;
Mini-Job (up too 400€) No. Month Prev. Yr;bap1n02;bbp1n02;bcp1n02;bdp1n02;bep1n02;bfp1n02;
