;2015;2014;2013;2012;2011;2010
Size of the company;betr15;betr14;betr13;betr12;betr11;betr10
Working Experience Full-Time Employment;expft15;expft14;expft13;expft12;expft11;expft10
Unemployment Experience;expue15;expue14;expue13;expue12;expue11;expue10
Amount of Education Or Training in Years;bfbilzeit;bebilzeit;bdbilzeit;bcbilzeit;bbbilzeit;babilzeit
School-Leaving Degree;bfpsbil;bepsbil;bdpsbil;bcpsbil;bbpsbil;bapsbil
Vocational Degree Received;bfpbbil01;bepbbil01;bdpbbil01;bcpbbil01;bbpbbil01;bapbbil01
College Degree;bfpbbil02;bepbbil02;bdpbbil02;bcpbbil02;bbpbbil02;bapbbil02
No Vocational Degree;bfpbbil03;bepbbil03;bdpbbil03;bcpbbil03;bbpbbil03;bapbbil03
School-Leaving Degree East Germany;bfpsbilo;bepsbilo;bdpsbilo;bcpsbilo;bbpsbilo;bapsbilo
Vocational Degree Received East Germany;bfpbbilo;bepbbilo;bdpbbilo;bcpbbilo;bbpbbilo;bapbbilo
School-Leaving Degree Outside Germany;bfpsbila;bepsbila;bdpsbila;bcpsbila;bbpsbila;bapsbila
Vocational Degree Outside Germany;bfpbbila;bepbbila;bdpbbila;bcpbbila;bbpbbila;bapbbila
Employed Full-Time in Prev. Yr;bfp1a01;bep1a01;bdp1a01;bcp1a01;bbp1a01;bap1a01
Employed Full-Time No. Month Prev. Yr;bfp1a02;bep1a02;bdp1a02;bcp1a02;bbp1a02;bap1a02
Employed Part-Time in Prev. Yr;bfp1b01;bep1b01;bdp1b01;bcp1b01;bbp1b01;bap1b01
Employed Part-Time No. Months Prev. Yr;bfp1b02;bep1b02;bdp1b02;bcp1b02;bbp1b02;bap1b02
Officially Unemployed Prev Yr;bfp1d01;bep1d01;bdp1d01;bcp1d01;bbp1d01;bap1d01
Officially Unemployed Prev Yr No. Month;bfp1d02;bep1d02;bdp1d02;bcp1d02;bbp1d02;bap1d02
Maternity Benefit in Prev. Yr;bfp1f01;bep1f01;bdp1f01;bcp1f01;bbp1f01;bap1f01
Maternity Benefit No. Months Prev. Yr;bfp1f02;bep1f02;bdp1f02;bcp1f02;bbp1f02;bap1f02
In School, College in Prev. Yr;bfp1g01;bep1g01;bdp1g01;bcp1g01;bbp1g01;bap1g01
In School, College No. Month Prev. Yr;bfp1g02;bep1g02;bdp1g02;bcp1g02;bbp1g02;bap1g02
On-the-Job Training,Retraining Prev. Yr;bfp1m01;bep1m01;bdp1m01;bcp1m01;bbp1m01;bap1m01
On-the-Job Training,Retraining No. Month Prev. Yr;bfp1m02;bep1m02;bdp1m02;bcp1m02;bbp1m02;bap1m02
Mini-Job (up too 400€) Prev. Yr;bfp1n01;bep1n01;bdp1n01;bcp1n01;bbp1n01;bap1n01
Mini-Job (up too 400€) No. Month Prev. Yr;bfp1n02;bep1n02;bdp1n02;bcp1n02;bbp1n02;bap1n02
Own Earnings;bfj04;bej04;bdj04;bcj04;bbj04;baj04
Full-Time, Part-Time, Trainee;bfj05;bej05;bdj05;bcj05;bbj05;baj05
Have Already Worked Before;bfj06;bej06;bdj06;bcj06;bbj06;baj06
Age At First Job;bfj07;bej07;bdj07;bcj07;bbj07;baj07
Reason For Working;bfj08;bej08;bdj08;bcj08;bbj08;baj08
